# frame 0  Twc (camera->world)
0.97483723 0.21100319 0.07190285 0.02912758
-0.22265379 0.90594556 0.36012211 -0.07046589
0.01084685 -0.36706988 0.93013012 0.10490494
0.00000000 0.00000000 0.00000000 1.00000000
# frame 58  Twc (camera->world)
0.97548385 0.20705296 0.07456758 0.02769525
-0.21998942 0.90821378 0.35602301 -0.07054550
0.00599231 -0.36369877 0.93149734 0.10520345
0.00000000 0.00000000 0.00000000 1.00000000
# frame 59  Twc (camera->world)
0.97555303 0.20069683 0.08953810 0.02675466
-0.21939096 0.91313273 0.34359310 -0.07071004
-0.01280212 -0.35483714 0.93484047 0.10477737
0.00000000 0.00000000 0.00000000 1.00000000
# frame 60  Twc (camera->world)
0.97495739 0.20021910 0.09680087 0.02534454
-0.22145116 0.91403163 0.33986110 -0.07008574
-0.02043237 -0.35278675 0.93548064 0.10532492
0.00000000 0.00000000 0.00000000 1.00000000
# frame 61  Twc (camera->world)
0.97495004 0.19723212 0.10281977 0.02372198
-0.22069348 0.91535204 0.33678633 -0.07010850
-0.02769120 -0.35104150 0.93595035 0.10533405
0.00000000 0.00000000 0.00000000 1.00000000
# frame 62  Twc (camera->world)
0.97508743 0.19384352 0.10783876 0.02159798
-0.21918468 0.91670468 0.33408173 -0.07025734
-0.03409671 -0.34939550 0.93635474 0.10607207
0.00000000 0.00000000 0.00000000 1.00000000
# frame 63  Twc (camera->world)
0.97801897 0.17848409 0.10780691 0.02070584
-0.20462365 0.92096162 0.33160044 -0.06999990
-0.04010062 -0.34637136 0.93724000 0.10584126
0.00000000 0.00000000 0.00000000 1.00000000
# frame 64  Twc (camera->world)
0.97775225 0.17670026 0.11303784 0.01931393
-0.20477976 0.92083613 0.33185248 -0.07009274
-0.04545091 -0.34761737 0.93653424 0.10655271
0.00000000 0.00000000 0.00000000 1.00000000
# frame 65  Twc (camera->world)
0.97770529 0.17456332 0.11670482 0.01781206
-0.20393371 0.92181233 0.32965600 -0.06941780
-0.05003410 -0.34610646 0.93686013 0.10758117
0.00000000 0.00000000 0.00000000 1.00000000
# frame 66  Twc (camera->world)
0.97682894 0.16996788 0.13006204 0.01675267
-0.20418113 0.92224520 0.32828930 -0.06698428
-0.06415046 -0.34723870 0.93558004 0.10804044
0.00000000 0.00000000 0.00000000 1.00000000
# frame 67  Twc (camera->world)
0.97762000 0.15698822 0.14004943 0.01034378
-0.19506116 0.92576631 0.32389488 -0.06454199
-0.07880537 -0.34396431 0.93566996 0.11107609
0.00000000 0.00000000 0.00000000 1.00000000
# frame 68  Twc (camera->world)
0.97736216 0.15527677 0.14370921 0.00859968
-0.19480213 0.92547907 0.32487016 -0.06483121
-0.08255507 -0.34551066 0.93477647 0.11230157
0.00000000 0.00000000 0.00000000 1.00000000
# frame 69  Twc (camera->world)
0.97744254 0.15303076 0.14555985 0.00729306
-0.19286066 0.92764408 0.31981437 -0.06483125
-0.08608630 -0.34067294 0.93623240 0.11277585
0.00000000 0.00000000 0.00000000 1.00000000
# frame 70  Twc (camera->world)
0.97659471 0.15535866 0.14874966 0.00650236
-0.19566265 0.92889876 0.31442523 -0.06487332
-0.08932470 -0.33617076 0.93755550 0.11242173
0.00000000 0.00000000 0.00000000 1.00000000
# frame 71  Twc (camera->world)
0.97216171 0.16736539 0.16398301 0.00357928
-0.21143135 0.92823081 0.30607898 -0.06440029
-0.10098705 -0.33222941 0.93777675 0.11331245
0.00000000 0.00000000 0.00000000 1.00000000
# frame 72  Twc (camera->world)
0.97050513 0.16820693 0.17270270 0.00140641
-0.21470662 0.92885740 0.30186917 -0.06307534
-0.10963969 -0.33004599 0.93757601 0.11399551
0.00000000 0.00000000 0.00000000 1.00000000
# frame 73  Twc (camera->world)
0.97036581 0.16719983 0.17445464 -0.00131652
-0.21411433 0.92958876 0.30003298 -0.06272380
-0.11200561 -0.32849498 0.93784103 0.11521537
0.00000000 0.00000000 0.00000000 1.00000000
# frame 74  Twc (camera->world)
0.97145320 0.16446366 0.17096893 -0.00079421
-0.21006052 0.93124134 0.29776526 -0.06245014
-0.11024177 -0.32517883 0.93920470 0.11503893
0.00000000 0.00000000 0.00000000 1.00000000
# frame 75  Twc (camera->world)
0.96848660 0.16134587 0.18973986 -0.00223916
-0.21263207 0.93231341 0.29253943 -0.06195029
-0.12969699 -0.32366530 0.93724035 0.11774243
0.00000000 0.00000000 0.00000000 1.00000000
# frame 76  Twc (camera->world)
0.96865946 0.15792118 0.19172831 -0.00328987
-0.20947616 0.93416743 0.28887880 -0.06214117
-0.13348627 -0.31998769 0.93797084 0.11822715
0.00000000 0.00000000 0.00000000 1.00000000
# frame 77  Twc (camera->world)
0.96876116 0.14569728 0.20068415 -0.00148683
-0.19918636 0.93920912 0.27966232 -0.06277277
-0.14773834 -0.31089954 0.93889023 0.11970646
0.00000000 0.00000000 0.00000000 1.00000000
# frame 78  Twc (camera->world)
0.96714981 0.14584731 0.20820615 -0.00317096
-0.20108549 0.94000319 0.27560594 -0.06233939
-0.15551806 -0.30841947 0.93845168 0.12082306
0.00000000 0.00000000 0.00000000 1.00000000
# frame 79  Twc (camera->world)
0.96777404 0.14142595 0.20835573 -0.00270484
-0.19623795 0.94206317 0.27204346 -0.06276208
-0.15781025 -0.30416390 0.93945742 0.12123251
0.00000000 0.00000000 0.00000000 1.00000000
# frame 80  Twc (camera->world)
0.96567372 0.14562057 0.21510210 -0.00043234
-0.20197592 0.94164866 0.26926481 -0.06263050
-0.16334011 -0.30346740 0.93873721 0.12142497
0.00000000 0.00000000 0.00000000 1.00000000
# frame 81  Twc (camera->world)
0.96100618 0.15111936 0.23158165 -0.00022329
-0.21169242 0.94086225 0.26450811 -0.06179284
-0.17791414 -0.30321801 0.93616526 0.12290598
0.00000000 0.00000000 0.00000000 1.00000000
# frame 82  Twc (camera->world)
0.95808955 0.15280108 0.24231434 -0.00304574
-0.21563501 0.94153184 0.25888093 -0.06202191
-0.18858938 -0.30028257 0.93502108 0.12535537
0.00000000 0.00000000 0.00000000 1.00000000
# frame 83  Twc (camera->world)
0.96095703 0.14766954 0.23399848 -0.00246487
-0.20477729 0.94828862 0.24251795 -0.06156421
-0.18608558 -0.28096691 0.94150399 0.12472658
0.00000000 0.00000000 0.00000000 1.00000000
# frame 84  Twc (camera->world)
0.96015511 0.15037756 0.23556050 -0.00246393
-0.20665879 0.94946759 0.23622751 -0.06033985
-0.18813374 -0.27549570 0.94271301 0.12456017
0.00000000 0.00000000 0.00000000 1.00000000
# frame 85  Twc (camera->world)
0.95955391 0.15235270 0.23673813 -0.00332038
-0.20776673 0.95067676 0.23031866 -0.05883104
-0.18997177 -0.27018948 0.94387943 0.12481814
0.00000000 0.00000000 0.00000000 1.00000000
# frame 86  Twc (camera->world)
0.96015183 0.15186045 0.23462068 -0.00309309
-0.20590650 0.95201114 0.22644491 -0.05708340
-0.18897348 -0.26573142 0.94534430 0.12422281
0.00000000 0.00000000 0.00000000 1.00000000
# frame 87  Twc (camera->world)
0.96469499 0.14463266 0.22010216 -0.00269880
-0.19617590 0.95221079 0.23411456 -0.04614766
-0.17572304 -0.26902789 0.94696643 0.12434934
0.00000000 0.00000000 0.00000000 1.00000000
# frame 88  Twc (camera->world)
0.96492300 0.14413986 0.21942495 -0.00256255
-0.19607509 0.95146040 0.23722915 -0.04471367
-0.17457998 -0.27193163 0.94634826 0.12438425
0.00000000 0.00000000 0.00000000 1.00000000
# frame 89  Twc (camera->world)
0.96565077 0.14241381 0.21734051 -0.00133142
-0.19421651 0.95124783 0.23959866 -0.04397050
-0.17262253 -0.27357974 0.94623231 0.12345493
0.00000000 0.00000000 0.00000000 1.00000000
# frame 90  Twc (camera->world)
0.96376384 0.14682230 0.22271612 -0.00011239
-0.20076589 0.94897675 0.24317931 -0.04363266
-0.17564828 -0.27908123 0.94406639 0.12309950
0.00000000 0.00000000 0.00000000 1.00000000
# frame 91  Twc (camera->world)
0.96074367 0.15259707 0.23170184 -0.00033346
-0.20892018 0.94743924 0.24230403 -0.04270555
-0.18254853 -0.28119925 0.94212686 0.12364781
0.00000000 0.00000000 0.00000000 1.00000000
# frame 92  Twc (camera->world)
0.96099797 0.15016893 0.23223307 -0.00053787
-0.20528478 0.95002888 0.23516650 -0.04230624
-0.18531343 -0.27366845 0.94380322 0.12261510
0.00000000 0.00000000 0.00000000 1.00000000
# frame 93  Twc (camera->world)
0.96084452 0.14986776 0.23306108 0.00015470
-0.20546956 0.94968040 0.23640937 -0.04271938
-0.18590340 -0.27503961 0.94328847 0.12157017
0.00000000 0.00000000 0.00000000 1.00000000
# frame 94  Twc (camera->world)
0.95983767 0.15049094 0.23677862 0.00004213
-0.20664384 0.95006099 0.23384277 -0.04242525
-0.18976291 -0.27337995 0.94300236 0.12130564
0.00000000 0.00000000 0.00000000 1.00000000
# frame 95  Twc (camera->world)
0.95899951 0.15211793 0.23912354 0.00051735
-0.20830984 0.95044093 0.23080090 -0.04222820
-0.19216384 -0.27114974 0.94316005 0.12090405
0.00000000 0.00000000 0.00000000 1.00000000
# frame 96  Twc (camera->world)
0.95113910 0.16657834 0.25997319 0.00097831
-0.22532948 0.95012935 0.21559418 -0.04293267
-0.21109484 -0.26363968 0.94124019 0.12188304
0.00000000 0.00000000 0.00000000 1.00000000
# frame 97  Twc (camera->world)
0.94206511 0.18553386 0.27944682 0.00075736
-0.23978706 0.95505566 0.17427237 -0.03981393
-0.23455384 -0.23118365 0.94421323 0.11822422
0.00000000 0.00000000 0.00000000 1.00000000
# frame 98  Twc (camera->world)
0.94124405 0.18758616 0.28083994 0.00226929
-0.24079497 0.95582096 0.16859442 -0.03863995
-0.23680672 -0.22631334 0.94483059 0.11542956
0.00000000 0.00000000 0.00000000 1.00000000
# frame 99  Twc (camera->world)
0.93879079 0.19188649 0.28609690 0.00263595
-0.24673336 0.95410954 0.16969869 -0.03694786
-0.24040489 -0.22990122 0.94305404 0.11438995
0.00000000 0.00000000 0.00000000 1.00000000
# frame 100  Twc (camera->world)
0.93550702 0.19884648 0.29203885 0.00235932
-0.25495219 0.95218157 0.16837352 -0.03522839
-0.24459353 -0.23197055 0.94146889 0.11391513
0.00000000 0.00000000 0.00000000 1.00000000
# frame 101  Twc (camera->world)
0.93368243 0.20370490 0.29451898 0.00277843
-0.25947360 0.95166082 0.16436283 -0.03401171
-0.24680066 -0.22988259 0.94140503 0.11340451
0.00000000 0.00000000 0.00000000 1.00000000
# frame 102  Twc (camera->world)
0.93197359 0.20857243 0.29651773 0.00243038
-0.26366535 0.95132832 0.15954625 -0.03289447
-0.24880877 -0.22687434 0.94160620 0.11335996
0.00000000 0.00000000 0.00000000 1.00000000
# frame 103  Twc (camera->world)
0.93085628 0.21228921 0.29738844 0.00215703
-0.26592450 0.95178356 0.15294513 -0.03229746
-0.25058083 -0.22145281 0.94242660 0.11331123
0.00000000 0.00000000 0.00000000 1.00000000
# frame 104  Twc (camera->world)
0.93028132 0.21771782 0.29525518 0.00134230
-0.26679471 0.95393971 0.13718457 -0.03055424
-0.25178812 -0.20639276 0.94551826 0.11049828
0.00000000 0.00000000 0.00000000 1.00000000
# frame 105  Twc (camera->world)
0.92915249 0.22166041 0.29587549 0.00136514
-0.26859569 0.95467392 0.12827335 -0.02920040
-0.25403149 -0.19865639 0.94657469 0.11028092
0.00000000 0.00000000 0.00000000 1.00000000
# frame 106  Twc (camera->world)
0.92852943 0.22399317 0.29607458 0.00161131
-0.26882736 0.95567531 0.12006898 -0.02688139
-0.25605653 -0.19108053 0.94758814 0.10829698
0.00000000 0.00000000 0.00000000 1.00000000
# frame 107  Twc (camera->world)
0.91888023 0.24080220 0.31252746 0.00069869
-0.28586379 0.95230778 0.10673231 -0.02316447
-0.27192095 -0.18741450 0.94389343 0.10644840
0.00000000 0.00000000 0.00000000 1.00000000
# frame 108  Twc (camera->world)
0.91773211 0.24396148 0.31344946 0.00094314
-0.28711938 0.95275464 0.09910128 -0.02264274
-0.27446353 -0.18094584 0.94441960 0.10495865
0.00000000 0.00000000 0.00000000 1.00000000
# frame 109  Twc (camera->world)
0.91423721 0.24878056 0.31981019 0.00016209
-0.29146969 0.95208847 0.09259033 -0.02189644
-0.28145292 -0.17786450 0.94294670 0.10318332
0.00000000 0.00000000 0.00000000 1.00000000
# frame 110  Twc (camera->world)
0.91273108 0.24989032 0.32322871 -0.00141611
-0.29230101 0.95214936 0.08928449 -0.02122220
-0.28545068 -0.17597281 0.94209951 0.10418024
0.00000000 0.00000000 0.00000000 1.00000000
# frame 111  Twc (camera->world)
0.91441011 0.24863617 0.31942794 -0.00199608
-0.28854419 0.95381226 0.08357285 -0.02085573
-0.28389505 -0.16858893 0.94391810 0.10299118
0.00000000 0.00000000 0.00000000 1.00000000
# frame 112  Twc (camera->world)
0.91498485 0.25028787 0.31647862 -0.00332647
